coordinates,footprint,product_name,success,error,part,filename,acquisition_date,end_date,satellite,swath_mode,polarization,orbit_num,data_take
"[[[-24.4098, 13.8254], [-24.1549, 15.075], [-24.8789, 15.1663], [-25.1298, 13.9173], [-24.4098, 13.8254]]]",,S1A_S4_RAW__0SVH_2024-02-25T07:31:23_2024-02-25T07:31:43_052712_0660C3,False,,PT1,s1a-s4-raw-s-vh-20240225t073123-20240225t073143-052712-0660c3.zarr,2024-02-25T07:31:23,2024-02-25T07:31:43,S1A,S4,VH,052712,0660c3
"[[[145.3174, 18.9054], [145.698, 20.76], [144.9503, 20.8491], [144.5786, 18.9951], [145.3174, 18.9054]]]",,S1A_S4_RAW__0SVH_2024-03-05T20:15:04_2024-03-05T20:15:35_052851_066582,False,,PT1,s1a-s4-raw-s-vh-20240305t201504-20240305t201535-052851-066582.zarr,2024-03-05T20:15:04,2024-03-05T20:15:35,S1A,S4,VH,052851,066582
"[[[145.3217, 18.9053], [145.7022, 20.7598], [144.9545, 20.8489], [144.5828, 18.9949], [145.3217, 18.9053]]]",,S1A_S4_RAW__0SVH_2024-04-10T20:15:04_2024-04-10T20:15:35_053376_06792D,False,,PT1,s1a-s4-raw-s-vh-20240410t201504-20240410t201535-053376-06792d.zarr,2024-04-10T20:15:04,2024-04-10T20:15:35,S1A,S4,VH,053376,06792d
"[[[-24.4109, 13.8252], [-24.156, 15.0748], [-24.8801, 15.166], [-25.1308, 13.917], [-24.4109, 13.8252]]]",,S1A_S4_RAW__0SVH_2024-05-07T07:31:24_2024-05-07T07:31:45_053762_06885D,False,,PT1,s1a-s4-raw-s-vh-20240507t073124-20240507t073145-053762-06885d.zarr,2024-05-07T07:31:24,2024-05-07T07:31:45,S1A,S4,VH,053762,06885d
"[[[-177.8582, -30.0011], [-177.0518, -29.8537], [-177.4375, -28.6275], [-178.2344, -28.772], [-177.8582, -30.0011]]]",,S1A_S4_RAW__0SVH_2024-06-07T06:29:24_2024-06-07T06:29:45_054213_0697FA,False,,PT1,s1a-s4-raw-s-vh-20240607t062924-20240607t062945-054213-0697fa.zarr,2024-06-07T06:29:24,2024-06-07T06:29:45,S1A,S4,VH,054213,0697fa
"[[[-12.4086, -38.5623], [-11.5182, -38.3901], [-12.2107, -36.5883], [-13.0806, -36.7546], [-12.4086, -38.5623]]]",,S1A_S4_RAW__0SVH_2024-06-07T19:36:56_2024-06-07T19:37:27_054221_069849,False,,PT1,s1a-s4-raw-s-vh-20240607t193656-20240607t193727-054221-069849.zarr,2024-06-07T19:36:56,2024-06-07T19:37:27,S1A,S4,VH,054221,069849
"[[[-12.4097, -38.5618], [-11.5193, -38.3897], [-12.2118, -36.5879], [-13.0817, -36.7542], [-12.4097, -38.5618]]]",,S1A_S4_RAW__0SVH_2024-06-19T19:36:56_2024-06-19T19:37:26_054396_069E54,False,,PT1,s1a-s4-raw-s-vh-20240619t193656-20240619t193726-054396-069e54.zarr,2024-06-19T19:36:56,2024-06-19T19:37:26,S1A,S4,VH,054396,069e54
"[[[-12.4079, -38.5623], [-11.5175, -38.3901], [-12.21, -36.5883], [-13.0799, -36.7546], [-12.4079, -38.5623]]]",,S1A_S4_RAW__0SVH_2024-07-01T19:36:55_2024-07-01T19:37:25_054571_06A46C,False,,PT1,s1a-s4-raw-s-vh-20240701t193655-20240701t193725-054571-06a46c.zarr,2024-07-01T19:36:55,2024-07-01T19:37:25,S1A,S4,VH,054571,06a46c
"[[[-12.4076, -38.562], [-11.5172, -38.3898], [-12.2098, -36.588], [-13.0797, -36.7543], [-12.4076, -38.562]]]",,S1A_S4_RAW__0SVH_2024-08-18T19:36:54_2024-08-18T19:37:25_055271_06BD0A,False,,PT1,s1a-s4-raw-s-vh-20240818t193654-20240818t193725-055271-06bd0a.zarr,2024-08-18T19:36:54,2024-08-18T19:37:25,S1A,S4,VH,055271,06bd0a
"[[[-12.4051, -38.5604], [-11.5148, -38.3882], [-12.2075, -36.5865], [-13.0774, -36.7528], [-12.4051, -38.5604]]]",,S1A_S4_RAW__0SVH_2024-09-23T19:36:55_2024-09-23T19:37:26_055796_06D142,False,,PT1,s1a-s4-raw-s-vh-20240923t193655-20240923t193726-055796-06d142.zarr,2024-09-23T19:36:55,2024-09-23T19:37:26,S1A,S4,VH,055796,06d142
"[[[-177.8567, -29.9985], [-177.0505, -29.8511], [-177.4363, -28.6249], [-178.233, -28.7694], [-177.8567, -29.9985]]]",,S1A_S4_RAW__0SVH_2024-10-17T06:29:24_2024-10-17T06:29:45_056138_06DEC0,False,,PT1,s1a-s4-raw-s-vh-20241017t062924-20241017t062945-056138-06dec0.zarr,2024-10-17T06:29:24,2024-10-17T06:29:45,S1A,S4,VH,056138,06dec0
"[[[-177.856, -30.0005], [-177.0497, -29.8531], [-177.4355, -28.6269], [-178.2323, -28.7714], [-177.856, -30.0005]]]",,S1A_S4_RAW__0SVH_2025-02-02T06:29:17_2025-02-02T06:29:37_057713_071D3B,False,,PT1,s1a-s4-raw-s-vh-20250202t062917-20250202t062937-057713-071d3b.zarr,2025-02-02T06:29:17,2025-02-02T06:29:37,S1A,S4,VH,057713,071d3b
"[[[145.3169, 18.9053], [145.6975, 20.7599], [144.9497, 20.849], [144.578, 18.995], [145.3169, 18.9053]]]",,S1A_S4_RAW__0SVH_2025-03-12T20:14:57_2025-03-12T20:15:28_058276_0733F4,False,,PT1,s1a-s4-raw-s-vh-20250312t201457-20250312t201528-058276-0733f4.zarr,2025-03-12T20:14:57,2025-03-12T20:15:28,S1A,S4,VH,058276,0733f4
"[[[145.3158, 18.9051], [145.6964, 20.7597], [144.9486, 20.8487], [144.577, 18.9947], [145.3158, 18.9051]]]",,S1A_S4_RAW__0SVH_2025-04-29T20:14:58_2025-04-29T20:15:29_058976_075047,False,,PT1,s1a-s4-raw-s-vh-20250429t201458-20250429t201529-058976-075047.zarr,2025-04-29T20:14:58,2025-04-29T20:15:29,S1A,S4,VH,058976,075047
"[[[-24.4092, 13.8253], [-24.1542, 15.0749], [-24.8783, 15.1661], [-25.1291, 13.9171], [-24.4092, 13.8253]]]",,S1A_S4_RAW__0SVH_2025-05-02T07:31:17_2025-05-02T07:31:37_059012_0751B0,False,,PT1,s1a-s4-raw-s-vh-20250502t073117-20250502t073137-059012-0751b0.zarr,2025-05-02T07:31:17,2025-05-02T07:31:37,S1A,S4,VH,059012,0751b0
"[[[165.7604, -10.8177], [165.9088, -10.1762], [165.199, -10.0641], [165.0491, -10.7047], [165.7604, -10.8177]]]",,S1A_S4_RAW__0SVV_2023-04-23T18:36:34_2023-04-23T18:36:44_048227_05CC95,False,,PT1,s1a-s4-raw-s-vv-20230423t183634-20230423t183644-048227-05cc95.zarr,2023-04-23T18:36:34,2023-04-23T18:36:44,S1A,S4,VV,048227,05cc95
"[[[-177.8574, -30.0005], [-177.051, -29.8531], [-177.4369, -28.6269], [-178.2337, -28.7714], [-177.8574, -30.0005]]]",,S1A_S4_RAW__0SVV_2023-05-08T06:29:20_2023-05-08T06:29:41_048438_05D39D,False,,PT1,s1a-s4-raw-s-vv-20230508t062920-20230508t062941-048438-05d39d.zarr,2023-05-08T06:29:20,2023-05-08T06:29:41,S1A,S4,VV,048438,05d39d
"[[[-24.4096, 13.8254], [-24.1546, 15.0749], [-24.8787, 15.1662], [-25.1295, 13.9172], [-24.4096, 13.8254]]]",,S1A_S4_RAW__0SVV_2023-07-12T07:31:23_2023-07-12T07:31:44_049387_05F05A,False,,PT1,s1a-s4-raw-s-vv-20230712t073123-20230712t073144-049387-05f05a.zarr,2023-07-12T07:31:23,2023-07-12T07:31:44,S1A,S4,VV,049387,05f05a
"[[[-24.4099, 13.8254], [-24.1549, 15.0749], [-24.879, 15.1662], [-25.1298, 13.9172], [-24.4099, 13.8254]]]",,S1A_S4_RAW__0SVV_2023-07-24T07:31:24_2023-07-24T07:31:45_049562_05F5AE,False,,PT1,s1a-s4-raw-s-vv-20230724t073124-20230724t073145-049562-05f5ae.zarr,2023-07-24T07:31:24,2023-07-24T07:31:45,S1A,S4,VV,049562,05f5ae
"[[[145.3179, 18.9052], [145.6985, 20.7597], [144.9507, 20.8488], [144.579, 18.9948], [145.3179, 18.9052]]]",,S1A_S4_RAW__0SVV_2023-08-14T20:15:06_2023-08-14T20:15:37_049876_05FFC2,False,,PT1,s1a-s4-raw-s-vv-20230814t201506-20230814t201537-049876-05ffc2.zarr,2023-08-14T20:15:06,2023-08-14T20:15:37,S1A,S4,VV,049876,05ffc2
"[[[165.76, -10.8174], [165.9085, -10.1759], [165.1987, -10.0637], [165.0487, -10.7044], [165.76, -10.8174]]]",,S1A_S4_RAW__0SVV_2023-09-02T18:36:41_2023-09-02T18:36:52_050152_060944,False,,PT1,s1a-s4-raw-s-vv-20230902t183641-20230902t183652-050152-060944.zarr,2023-09-02T18:36:41,2023-09-02T18:36:52,S1A,S4,VV,050152,060944
"[[[165.7594, -10.8173], [165.9078, -10.1758], [165.1981, -10.0636], [165.0481, -10.7043], [165.7594, -10.8173]]]",,S1A_S4_RAW__0SVV_2023-10-20T18:36:42_2023-10-20T18:36:53_050852_062124,False,,PT1,s1a-s4-raw-s-vv-20231020t183642-20231020t183653-050852-062124.zarr,2023-10-20T18:36:42,2023-10-20T18:36:53,S1A,S4,VV,050852,062124
"[[[145.3179, 18.9051], [145.6985, 20.7596], [144.9507, 20.8487], [144.579, 18.9948], [145.3179, 18.9051]]]",,S1A_S4_RAW__0SVV_2023-10-25T20:15:08_2023-10-25T20:15:39_050926_0623A4,False,,PT1,s1a-s4-raw-s-vv-20231025t201508-20231025t201539-050926-0623a4.zarr,2023-10-25T20:15:08,2023-10-25T20:15:39,S1A,S4,VV,050926,0623a4
"[[[-177.8562, -30.0003], [-177.0499, -29.8528], [-177.4357, -28.6266], [-178.2325, -28.7711], [-177.8562, -30.0003]]]",,S1A_S4_RAW__0SVV_2023-11-04T06:29:27_2023-11-04T06:29:48_051063_06284A,False,,PT1,s1a-s4-raw-s-vv-20231104t062927-20231104t062948-051063-06284a.zarr,2023-11-04T06:29:27,2023-11-04T06:29:48,S1A,S4,VV,051063,06284a
"[[[145.3178, 18.9077], [145.6984, 20.7623], [144.9506, 20.8514], [144.5789, 18.9974], [145.3178, 18.9077]]]",,S1A_S4_RAW__0SVV_2023-11-06T20:15:08_2023-11-06T20:15:39_051101_0629A2,False,,PT1,s1a-s4-raw-s-vv-20231106t201508-20231106t201539-051101-0629a2.zarr,2023-11-06T20:15:08,2023-11-06T20:15:39,S1A,S4,VV,051101,0629a2
"[[[165.7622, -10.8164], [165.9107, -10.1749], [165.2009, -10.0628], [165.051, -10.7034], [165.7622, -10.8164]]]",,S1A_S4_RAW__0SVV_2023-11-25T18:36:41_2023-11-25T18:36:51_051377_063334,False,,PT1,s1a-s4-raw-s-vv-20231125t183641-20231125t183651-051377-063334.zarr,2023-11-25T18:36:41,2023-11-25T18:36:51,S1A,S4,VV,051377,063334
"[[[165.7616, -10.817], [165.9101, -10.1756], [165.2003, -10.0634], [165.0503, -10.7041], [165.7616, -10.817]]]",,S1A_S4_RAW__0SVV_2023-12-19T18:36:40_2023-12-19T18:36:50_051727_063F59,False,,PT1,s1a-s4-raw-s-vv-20231219t183640-20231219t183650-051727-063f59.zarr,2023-12-19T18:36:40,2023-12-19T18:36:50,S1A,S4,VV,051727,063f59
"[[[-177.8544, -30.0004], [-177.0482, -29.8529], [-177.434, -28.6267], [-178.2308, -28.7712], [-177.8544, -30.0004]]]",,S1A_S4_RAW__0SVV_2023-12-22T06:29:25_2023-12-22T06:29:46_051763_06408A,False,,PT1,s1a-s4-raw-s-vv-20231222t062925-20231222t062946-051763-06408a.zarr,2023-12-22T06:29:25,2023-12-22T06:29:46,S1A,S4,VV,051763,06408a
"[[[145.3173, 18.9054], [145.6979, 20.7599], [144.9501, 20.849], [144.5784, 18.995], [145.3173, 18.9054]]]",,S1A_S4_RAW__0SVV_2024-01-05T20:15:05_2024-01-05T20:15:36_051976_0647DD,False,,PT1,s1a-s4-raw-s-vv-20240105t201505-20240105t201536-051976-0647dd.zarr,2024-01-05T20:15:05,2024-01-05T20:15:36,S1A,S4,VV,051976,0647dd
"[[[-24.4098, 13.8254], [-24.1549, 15.075], [-24.8789, 15.1663], [-25.1298, 13.9173], [-24.4098, 13.8254]]]",,S1A_S4_RAW__0SVV_2024-02-25T07:31:23_2024-02-25T07:31:43_052712_0660C3,False,,PT1,s1a-s4-raw-s-vv-20240225t073123-20240225t073143-052712-0660c3.zarr,2024-02-25T07:31:23,2024-02-25T07:31:43,S1A,S4,VV,052712,0660c3
"[[[145.3174, 18.9054], [145.698, 20.76], [144.9503, 20.8491], [144.5786, 18.9951], [145.3174, 18.9054]]]",,S1A_S4_RAW__0SVV_2024-03-05T20:15:04_2024-03-05T20:15:35_052851_066582,False,,PT1,s1a-s4-raw-s-vv-20240305t201504-20240305t201535-052851-066582.zarr,2024-03-05T20:15:04,2024-03-05T20:15:35,S1A,S4,VV,052851,066582
"[[[145.3217, 18.9053], [145.7022, 20.7598], [144.9545, 20.8489], [144.5828, 18.9949], [145.3217, 18.9053]]]",,S1A_S4_RAW__0SVV_2024-04-10T20:15:04_2024-04-10T20:15:35_053376_06792D,False,,PT1,s1a-s4-raw-s-vv-20240410t201504-20240410t201535-053376-06792d.zarr,2024-04-10T20:15:04,2024-04-10T20:15:35,S1A,S4,VV,053376,06792d
"[[[-24.4109, 13.8252], [-24.156, 15.0748], [-24.8801, 15.166], [-25.1308, 13.917], [-24.4109, 13.8252]]]",,S1A_S4_RAW__0SVV_2024-05-07T07:31:24_2024-05-07T07:31:45_053762_06885D,False,,PT1,s1a-s4-raw-s-vv-20240507t073124-20240507t073145-053762-06885d.zarr,2024-05-07T07:31:24,2024-05-07T07:31:45,S1A,S4,VV,053762,06885d
"[[[-177.8582, -30.0011], [-177.0518, -29.8537], [-177.4375, -28.6275], [-178.2344, -28.772], [-177.8582, -30.0011]]]",,S1A_S4_RAW__0SVV_2024-06-07T06:29:24_2024-06-07T06:29:45_054213_0697FA,False,,PT1,s1a-s4-raw-s-vv-20240607t062924-20240607t062945-054213-0697fa.zarr,2024-06-07T06:29:24,2024-06-07T06:29:45,S1A,S4,VV,054213,0697fa
"[[[-12.4086, -38.5623], [-11.5182, -38.3901], [-12.2107, -36.5883], [-13.0806, -36.7546], [-12.4086, -38.5623]]]",,S1A_S4_RAW__0SVV_2024-06-07T19:36:56_2024-06-07T19:37:27_054221_069849,False,,PT1,s1a-s4-raw-s-vv-20240607t193656-20240607t193727-054221-069849.zarr,2024-06-07T19:36:56,2024-06-07T19:37:27,S1A,S4,VV,054221,069849
"[[[-12.4097, -38.5618], [-11.5193, -38.3897], [-12.2118, -36.5879], [-13.0817, -36.7542], [-12.4097, -38.5618]]]",,S1A_S4_RAW__0SVV_2024-06-19T19:36:56_2024-06-19T19:37:26_054396_069E54,False,,PT1,s1a-s4-raw-s-vv-20240619t193656-20240619t193726-054396-069e54.zarr,2024-06-19T19:36:56,2024-06-19T19:37:26,S1A,S4,VV,054396,069e54
"[[[-12.4079, -38.5623], [-11.5175, -38.3901], [-12.21, -36.5883], [-13.0799, -36.7546], [-12.4079, -38.5623]]]",,S1A_S4_RAW__0SVV_2024-07-01T19:36:55_2024-07-01T19:37:25_054571_06A46C,False,,PT1,s1a-s4-raw-s-vv-20240701t193655-20240701t193725-054571-06a46c.zarr,2024-07-01T19:36:55,2024-07-01T19:37:25,S1A,S4,VV,054571,06a46c
"[[[-12.4076, -38.562], [-11.5172, -38.3898], [-12.2098, -36.588], [-13.0797, -36.7543], [-12.4076, -38.562]]]",,S1A_S4_RAW__0SVV_2024-08-18T19:36:54_2024-08-18T19:37:25_055271_06BD0A,False,,PT1,s1a-s4-raw-s-vv-20240818t193654-20240818t193725-055271-06bd0a.zarr,2024-08-18T19:36:54,2024-08-18T19:37:25,S1A,S4,VV,055271,06bd0a
"[[[-12.4051, -38.5604], [-11.5148, -38.3882], [-12.2075, -36.5865], [-13.0774, -36.7528], [-12.4051, -38.5604]]]",,S1A_S4_RAW__0SVV_2024-09-23T19:36:55_2024-09-23T19:37:26_055796_06D142,False,,PT1,s1a-s4-raw-s-vv-20240923t193655-20240923t193726-055796-06d142.zarr,2024-09-23T19:36:55,2024-09-23T19:37:26,S1A,S4,VV,055796,06d142
"[[[-177.8567, -29.9985], [-177.0505, -29.8511], [-177.4363, -28.6249], [-178.233, -28.7694], [-177.8567, -29.9985]]]",,S1A_S4_RAW__0SVV_2024-10-17T06:29:24_2024-10-17T06:29:45_056138_06DEC0,False,,PT1,s1a-s4-raw-s-vv-20241017t062924-20241017t062945-056138-06dec0.zarr,2024-10-17T06:29:24,2024-10-17T06:29:45,S1A,S4,VV,056138,06dec0
"[[[-177.856, -30.0005], [-177.0497, -29.8531], [-177.4355, -28.6269], [-178.2323, -28.7714], [-177.856, -30.0005]]]",,S1A_S4_RAW__0SVV_2025-02-02T06:29:17_2025-02-02T06:29:37_057713_071D3B,False,,PT1,s1a-s4-raw-s-vv-20250202t062917-20250202t062937-057713-071d3b.zarr,2025-02-02T06:29:17,2025-02-02T06:29:37,S1A,S4,VV,057713,071d3b
"[[[145.3169, 18.9053], [145.6975, 20.7599], [144.9497, 20.849], [144.578, 18.995], [145.3169, 18.9053]]]",,S1A_S4_RAW__0SVV_2025-03-12T20:14:57_2025-03-12T20:15:28_058276_0733F4,False,,PT1,s1a-s4-raw-s-vv-20250312t201457-20250312t201528-058276-0733f4.zarr,2025-03-12T20:14:57,2025-03-12T20:15:28,S1A,S4,VV,058276,0733f4
"[[[145.3158, 18.9051], [145.6964, 20.7597], [144.9486, 20.8487], [144.577, 18.9947], [145.3158, 18.9051]]]",,S1A_S4_RAW__0SVV_2025-04-29T20:14:58_2025-04-29T20:15:29_058976_075047,False,,PT1,s1a-s4-raw-s-vv-20250429t201458-20250429t201529-058976-075047.zarr,2025-04-29T20:14:58,2025-04-29T20:15:29,S1A,S4,VV,058976,075047
"[[[-24.4092, 13.8253], [-24.1542, 15.0749], [-24.8783, 15.1661], [-25.1291, 13.9171], [-24.4092, 13.8253]]]",,S1A_S4_RAW__0SVV_2025-05-02T07:31:17_2025-05-02T07:31:37_059012_0751B0,False,,PT1,s1a-s4-raw-s-vv-20250502t073117-20250502t073137-059012-0751b0.zarr,2025-05-02T07:31:17,2025-05-02T07:31:37,S1A,S4,VV,059012,0751b0
"[[[-178.7305, -31.0848], [-177.9179, -30.9295], [-178.3216, -29.7131], [-179.1244, -29.8651], [-178.7305, -31.0848]]]",,S1A_S5_RAW__0SVH_2023-03-26T06:37:12_2023-03-26T06:37:32_047811_05BE89,False,,PT1,s1a-s5-raw-s-vh-20230326t063712-20230326t063732-047811-05be89.zarr,2023-03-26T06:37:12,2023-03-26T06:37:32,S1A,S5,VH,047811,05be89
"[[[165.6024, -11.4993], [166.3138, -11.3838], [165.949, -9.8484], [165.2412, -9.9617], [165.6024, -11.4993]]]",,S1A_S5_RAW__0SVH_2023-03-27T07:23:48_2023-03-27T07:24:13_047826_05BF08,False,,PT1,s1a-s5-raw-s-vh-20230327t072348-20230327t072413-047826-05bf08.zarr,2023-03-27T07:23:48,2023-03-27T07:24:13,S1A,S5,VH,047826,05bf08
"[[[146.3406, 17.4378], [146.4687, 18.0769], [145.7344, 18.1641], [145.609, 17.5252], [146.3406, 17.4378]]]",,S1A_S5_RAW__0SVH_2023-05-29T20:07:34_2023-05-29T20:07:45_048753_05DCFD,False,,PT1,s1a-s5-raw-s-vh-20230529t200734-20230529t200745-048753-05dcfd.zarr,2023-05-29T20:07:34,2023-05-29T20:07:45,S1A,S5,VH,048753,05dcfd
"[[[-5.8406, -17.0182], [-5.1113, -16.8938], [-5.5782, -15.0638], [-6.3009, -15.185], [-5.8406, -17.0182]]]",,S1A_S5_RAW__0SVH_2023-06-07T18:53:30_2023-06-07T18:54:01_048883_05E0E8,False,,PT1,s1a-s5-raw-s-vh-20230607t185330-20230607t185401-048883-05e0e8.zarr,2023-06-07T18:53:30,2023-06-07T18:54:01,S1A,S5,VH,048883,05e0e8
"[[[165.6022, -11.4995], [166.3136, -11.3841], [165.9488, -9.8486], [165.241, -9.9619], [165.6022, -11.4995]]]",,S1A_S5_RAW__0SVH_2023-06-19T07:23:52_2023-06-19T07:24:17_049051_05E606,False,,PT1,s1a-s5-raw-s-vh-20230619t072352-20230619t072417-049051-05e606.zarr,2023-06-19T07:23:52,2023-06-19T07:24:17,S1A,S5,VH,049051,05e606
"[[[165.6014, -11.4993], [166.3128, -11.3838], [165.948, -9.8483], [165.2402, -9.9616], [165.6014, -11.4993]]]",,S1A_S5_RAW__0SVH_2023-07-25T07:23:54_2023-07-25T07:24:19_049576_05F61A,False,,PT1,s1a-s5-raw-s-vh-20230725t072354-20230725t072419-049576-05f61a.zarr,2023-07-25T07:23:54,2023-07-25T07:24:19,S1A,S5,VH,049576,05f61a
"[[[-5.8434, -17.018], [-5.1141, -16.8936], [-5.5811, -15.0636], [-6.3037, -15.1848], [-5.8434, -17.018]]]",,S1A_S5_RAW__0SVH_2023-07-25T18:53:34_2023-07-25T18:54:04_049583_05F657,False,,PT1,s1a-s5-raw-s-vh-20230725t185334-20230725t185404-049583-05f657.zarr,2023-07-25T18:53:34,2023-07-25T18:54:04,S1A,S5,VH,049583,05f657
"[[[-178.7319, -31.0812], [-177.9194, -30.9259], [-178.323, -29.7095], [-179.1258, -29.8615], [-178.7319, -31.0812]]]",,S1A_S5_RAW__0SVH_2023-09-10T06:37:20_2023-09-10T06:37:41_050261_060CDF,False,,PT1,s1a-s5-raw-s-vh-20230910t063720-20230910t063741-050261-060cdf.zarr,2023-09-10T06:37:20,2023-09-10T06:37:41,S1A,S5,VH,050261,060cdf
"[[[-5.8431, -17.018], [-5.1138, -16.8936], [-5.5808, -15.0635], [-6.3034, -15.1848], [-5.8431, -17.018]]]",,S1A_S5_RAW__0SVH_2023-09-11T18:53:36_2023-09-11T18:54:07_050283_060DA9,False,,PT1,s1a-s5-raw-s-vh-20230911t185336-20230911t185407-050283-060da9.zarr,2023-09-11T18:53:36,2023-09-11T18:54:07,S1A,S5,VH,050283,060da9
"[[[165.6031, -11.4994], [166.3144, -11.384], [165.9496, -9.8485], [165.2419, -9.9618], [165.6031, -11.4994]]]",,S1A_S5_RAW__0SVH_2023-10-05T07:23:57_2023-10-05T07:24:22_050626_061954,False,,PT1,s1a-s5-raw-s-vh-20231005t072357-20231005t072422-050626-061954.zarr,2023-10-05T07:23:57,2023-10-05T07:24:22,S1A,S5,VH,050626,061954
"[[[165.602, -11.4992], [166.3134, -11.3838], [165.9486, -9.8483], [165.2408, -9.9616], [165.602, -11.4992]]]",,S1A_S5_RAW__0SVH_2023-10-17T07:23:57_2023-10-17T07:24:22_050801_061F62,False,,PT1,s1a-s5-raw-s-vh-20231017t072357-20231017t072422-050801-061f62.zarr,2023-10-17T07:23:57,2023-10-17T07:24:22,S1A,S5,VH,050801,061f62
"[[[-5.8416, -17.0182], [-5.1122, -16.8938], [-5.5792, -15.0637], [-6.3018, -15.185], [-5.8416, -17.0182]]]",,S1A_S5_RAW__0SVH_2023-11-10T18:53:36_2023-11-10T18:54:07_051158_062B97,False,,PT1,s1a-s5-raw-s-vh-20231110t185336-20231110t185407-051158-062b97.zarr,2023-11-10T18:53:36,2023-11-10T18:54:07,S1A,S5,VH,051158,062b97
"[[[145.796, 14.7162], [146.167, 16.565], [145.4389, 16.653], [145.0746, 14.8053], [145.796, 14.7162]]]",,S1A_S5_RAW__0SVH_2023-12-07T20:08:04_2023-12-07T20:08:35_051553_06393E,False,,PT1,s1a-s5-raw-s-vh-20231207t200804-20231207t200835-051553-06393e.zarr,2023-12-07T20:08:04,2023-12-07T20:08:35,S1A,S5,VH,051553,06393e
"[[[165.6026, -11.4995], [166.3139, -11.3841], [165.9491, -9.8486], [165.2414, -9.9619], [165.6026, -11.4995]]]",,S1A_S5_RAW__0SVH_2024-01-09T07:23:54_2024-01-09T07:24:19_052026_064989,False,,PT1,s1a-s5-raw-s-vh-20240109t072354-20240109t072419-052026-064989.zarr,2024-01-09T07:23:54,2024-01-09T07:24:19,S1A,S5,VH,052026,064989
"[[[-5.8425, -17.0184], [-5.1132, -16.8941], [-5.5801, -15.0639], [-6.3027, -15.1852], [-5.8425, -17.0184]]]",,S1A_S5_RAW__0SVH_2024-01-09T18:53:34_2024-01-09T18:54:04_052033_0649CD,False,,PT1,s1a-s5-raw-s-vh-20240109t185334-20240109t185404-052033-0649cd.zarr,2024-01-09T18:53:34,2024-01-09T18:54:04,S1A,S5,VH,052033,0649cd
"[[[165.6025, -11.4999], [166.3138, -11.3844], [165.949, -9.8489], [165.2413, -9.9622], [165.6025, -11.4999]]]",,S1A_S5_RAW__0SVH_2024-01-21T07:23:53_2024-01-21T07:24:19_052201_064F75,False,,PT1,s1a-s5-raw-s-vh-20240121t072353-20240121t072419-052201-064f75.zarr,2024-01-21T07:23:53,2024-01-21T07:24:19,S1A,S5,VH,052201,064f75
"[[[165.6028, -11.4996], [166.3142, -11.3842], [165.9493, -9.8487], [165.2416, -9.962], [165.6028, -11.4996]]]",,S1A_S5_RAW__0SVH_2024-02-02T07:23:53_2024-02-02T07:24:18_052376_065564,False,,PT1,s1a-s5-raw-s-vh-20240202t072353-20240202t072418-052376-065564.zarr,2024-02-02T07:23:53,2024-02-02T07:24:18,S1A,S5,VH,052376,065564
"[[[-178.7317, -31.0814], [-177.9192, -30.9261], [-178.3228, -29.7097], [-179.1256, -29.8617], [-178.7317, -31.0814]]]",,S1A_S5_RAW__0SVH_2024-04-01T06:37:17_2024-04-01T06:37:38_053236_0673A6,False,,PT1,s1a-s5-raw-s-vh-20240401t063717-20240401t063738-053236-0673a6.zarr,2024-04-01T06:37:17,2024-04-01T06:37:38,S1A,S5,VH,053236,0673a6
"[[[165.6015, -11.4998], [166.3129, -11.3844], [165.9482, -9.8489], [165.2404, -9.9621], [165.6015, -11.4998]]]",,S1A_S5_RAW__0SVH_2024-05-20T07:23:54_2024-05-20T07:24:19_053951_068EE9,False,,PT1,s1a-s5-raw-s-vh-20240520t072354-20240520t072419-053951-068ee9.zarr,2024-05-20T07:23:54,2024-05-20T07:24:19,S1A,S5,VH,053951,068ee9
"[[[-5.8442, -17.018], [-5.1149, -16.8936], [-5.5817, -15.0635], [-6.3043, -15.1848], [-5.8442, -17.018]]]",,S1A_S5_RAW__0SVH_2024-06-01T18:53:34_2024-06-01T18:54:04_054133_069533,False,,PT1,s1a-s5-raw-s-vh-20240601t185334-20240601t185404-054133-069533.zarr,2024-06-01T18:53:34,2024-06-01T18:54:04,S1A,S5,VH,054133,069533
"[[[165.602, -11.4993], [166.3134, -11.3839], [165.9487, -9.8485], [165.2409, -9.9617], [165.602, -11.4993]]]",,S1A_S5_RAW__0SVH_2024-07-31T07:23:51_2024-07-31T07:24:17_055001_06B354,False,,PT1,s1a-s5-raw-s-vh-20240731t072351-20240731t072417-055001-06b354.zarr,2024-07-31T07:23:51,2024-07-31T07:24:17,S1A,S5,VH,055001,06b354
"[[[165.6024, -11.4995], [166.3138, -11.3841], [165.949, -9.8486], [165.2412, -9.9619], [165.6024, -11.4995]]]",,S1A_S5_RAW__0SVH_2024-08-12T07:23:51_2024-08-12T07:24:17_055176_06B980,False,,PT1,s1a-s5-raw-s-vh-20240812t072351-20240812t072417-055176-06b980.zarr,2024-08-12T07:23:51,2024-08-12T07:24:17,S1A,S5,VH,055176,06b980
